versiculo,localizacao
"Que o Senhor faça crescer e transbordar o amor que vocês têm uns para com os outros e para com todos, a exemplo do nosso amor por vocês.",1 Tessalonicenses 3:12
Façam tudo com amor.,1 Coríntios 16:14
Esta é a mensagem que vocês ouviram desde o princípio: que nos amemos uns aos outros.,1 João 3:11
O Senhor te abençoe e te guarde; o Senhor faça resplandecer o seu rosto sobre ti e te conceda graça; o Senhor volte para ti o seu rosto e te dê paz.,Números 6:24-26
"Então, na juventude, os nossos filhos serão como plantas viçosas; as nossas filhas, como colunas esculpidas para ornar um palácio.",Salmos 144:12
"Pois derramarei água na terra sedenta, e torrentes na terra seca; derramarei meu Espírito sobre sua prole e minha bênção sobre seus descendentes. Eles brotarão como relva nova, como salgueiros junto a regatos.",Isaías 44:3-4
"Seus descendentes serão poderosos na terra, serão uma geração abençoada, de homens íntegros.",Salmos 112:2
"Os filhos são herança do Senhor, uma recompensa que ele dá. Como flechas nas mãos do guerreiro são os filhos nascidos na juventude. Como é feliz o homem que tem a sua aljava cheia deles! Não será humilhado quando enfrentar seus inimigos no tribunal.",Salmos 127:3-5
"Que Deus lhe conceda do céu o orvalho e da terra a riqueza, com muito cereal e muito vinho. Que as nações o sirvam e os povos se curvem diante de você. Seja senhor dos seus irmãos, e curvem-se diante de você os filhos de sua mãe. Malditos sejam os que o amaldiçoarem e benditos sejam os que o abençoarem"".",Gênesis 27:28-29
"Todos os seus filhos serão ensinados pelo Senhor, e grande será a paz de suas crianças.",Isaías 54:13
"Eles serão o meu povo, e eu serei o seu Deus. Darei a eles um só pensamento e uma só conduta, para que me temam durante toda a sua vida, para o seu próprio bem e o de seus filhos e descendentes.",Jeremias 32:38-39
"Como é feliz quem teme o Senhor, quem anda em seus caminhos! Você comerá do fruto do seu trabalho e será feliz e próspero. Sua mulher será como videira frutífera em sua casa; seus filhos serão como brotos de oliveira ao redor da sua mesa. Assim será abençoado o homem que teme o Senhor!",Salmos 128:1-4
"A mulher que está dando à luz sente dores, porque chegou a sua hora; mas, quando o bebê nasce, ela esquece a angústia, por causa da alegria de ter vindo ao mundo.",João 16:21
Provérbios de Salomão: O filho sábio dá alegria ao pai; o filho tolo dá tristeza à mãe.,Provérbios 10:1
Tu criaste o íntimo do meu ser e me teceste no ventre de minha mãe. Eu te louvo porque me fizeste de modo especial e admirável. Tuas obras são maravilhosas!Digo isso com convicção.,Salmos 139:13-14
Meus ossos não estavam escondidos de ti quando em secreto fui formado e entretecido como nas profundezas da terra. Os teus olhos viram o meu embrião; todos os dias determinados para mim foram escritos no teu livro antes de qualquer deles existir.,Salmos 139:15-16
"""Antes de formá-lo no ventre eu o escolhi; antes de você nascer, eu o separei e o designei profeta às nações"".",Jeremias 1:5
Desde que nasci fui entregue a ti; desde o ventre materno és o meu Deus.,Salmos 22:10
"Vocês serão mais abençoados do que qualquer outro povo! Nenhum dos seus homens ou mulheres será estéril, nem mesmo os animais do seu rebanho.",Deuteronômio 7:14
O homem justo leva uma vida íntegra; como são felizes os seus filhos!,Provérbios 20:7
"porque, se o fizerem e eles clamarem a mim, eu certamente atenderei ao seu clamor.",Êxodo 22:23
"se o meu povo, que se chama pelo meu nome, se humilhar e orar, buscar a minha face e se afastar dos seus maus caminhos, dos céus o ouvirei, perdoarei o seu pecado e curarei a sua terra.",2 Crônicas 7:14
"Ele ora a Deus e recebe o seu favor; vê o rosto de Deus e dá gritos de alegria, e Deus lhe restitui a condição de justo.",Jó 33:26
"Os justos clamam, o Senhor os ouve e os livra de todas as suas tribulações.",Salmos 34:17
"Portanto, que todos os que são fiéis orem a ti enquanto podes ser encontrado; quando as muitas águas se levantarem, elas não os atingirão.",Salmos 32:6
"Ele clamará a mim, e eu lhe darei resposta, e na adversidade estarei com ele; vou livrá-lo e cobri-lo de honra.",Salmos 91:15
"Se vocês, apesar de serem maus, sabem dar boas coisas aos seus filhos, quanto mais o Pai de vocês, que está nos céus, dará coisas boas aos que lhe pedirem!",Mateus 7:11
"Sabemos que Deus não ouve pecadores, mas ouve o homem que o teme e pratica a sua vontade.",João 9:31
"E eu farei o que vocês pedirem em meu nome, para que o Pai seja glorificado no Filho. O que vocês pedirem em meu nome, eu farei. ""Se vocês me amam, obedecerão aos meus mandamentos. E eu pedirei ao Pai, e ele dará a vocês outro Conselheiro para estar com vocês para sempre,",João 14:13-16
"Aproximem-se de Deus, e ele se aproximará de vocês! Pecadores, limpem as mãos, e vocês, que têm a mente dividida, purifiquem o coração.",Tiago 4:8
"E, agora, que está esperando? Levante-se, seja batizado e lave os seus pecados, invocando o nome dele'.",Atos dos Apóstolos 22:16
"porque ""todo aquele que invocar o nome do Senhor será salvo"".",Romanos 10:13
"O nosso Deus é um Deus que salva; ele é o Soberano, ele é o Senhor que nos livra da morte.",Salmos 68:20
Livrem os fracos e os pobres; libertem-nos das mãos dos ímpios.,Salmos 82:4
"""Desde os dias mais antigos eu o sou. Não há quem possa livrar alguém de minha mão. Agindo eu, quem o pode desfazer?""",Isaías 43:13
"Se formos atirados na fornalha em chamas, o Deus a quem prestamos culto pode livrar-nos, e ele nos livrará das tuas mãos, ó rei. Mas, se ele não nos livrar, saiba, ó rei, que não prestaremos culto aos teus deuses nem adoraremos a imagem de ouro que mandaste erguer"".",Daniel 3:17-18
"e esperar dos céus seu Filho, a quem ressuscitou dos mortos: Jesus, que nos livra da ira que há de vir.",1 Tessalonicenses 1:10
"Pois me livraste da morte e aos meus pés de tropeçar, para que eu ande diante de Deus na luz que ilumina os vivos.",Salmos 56:13
"pode dizer ao Senhor: ""Tu és o meu refúgio e a minha fortaleza, o meu Deus, em quem confio"". Ele o livrará do laço do caçador e do veneno mortal.",Salmos 91:2-3
"mas eles mantiveram sua posição no meio da plantação. Eles a defenderam e feriram os filisteus, e o Senhor lhes deu uma grande vitória.",1 Crônicas 11:14
"Agrada-te, Senhor, em libertar-me; apressa-te, Senhor, a ajudar-me.",Salmos 40:13
"Livrou-me do meu inimigo poderoso, dos meus adversários, que eram fortes demais para mim.",2 Samuel 22:18
O amigo ama em todos os momentos; é um irmão na adversidade.,Provérbios 17:17
Não abandone o seu amigo nem o amigo de seu pai; quando for atingido pela adversidade não vá para a casa de seu irmão; melhor é o vizinho próximo do que o irmão distante.,Provérbios 27:10
"Melhor é a repreensão feita abertamente do que o amor oculto. Quem fere por amor mostra lealdade, mas o inimigo multiplica beijos.",Provérbios 27:5-6
"Ninguém tem maior amor do que aquele que dá a sua vida pelos seus amigos. Vocês serão meus amigos, se fizerem o que eu ordeno. Já não os chamo servos, porque o servo não sabe o que o seu senhor faz. Em vez disso, eu os tenho chamado amigos, porque tudo o que ouvi de meu Pai eu tornei conhecido a vocês.",João 15:13-15
"Cumpriu-se assim a Escritura que diz: ""Abraão creu em Deus, e isso lhe foi creditado como justiça"", e ele foi chamado amigo de Deus.",Tiago 2:23
"Assim como o ferro afia o ferro, o homem afia o seu companheiro.",Provérbios 27:17
"Quem tem muitos amigos pode chegar à ruína, mas existe amigo mais apegado que um irmão.",Provérbios 18:24
"Muitos se dizem amigos leais; mas um homem fiel, quem poderá achar?",Provérbios 20:6
"A riqueza traz muitos amigos, mas até o amigo do pobre o abandona.",Provérbios 19:4
Sou amigo de todos os que te temem e obedecem aos teus preceitos.,Salmos 119:63
"É melhor ter companhia do que estar sozinho, porque maior é a recompensa do trabalho de duas pessoas. Se um cair, o amigo pode ajudá-lo a levantar-se. Mas pobre do homem que cai e não tem quem o ajude a levantar-se!",Eclesiastes 4:9-10
"E Jônatas fez um acordo de amizade com Davi, pois se tornara o seu melhor amigo.",1 Samuel 18:3
"Aquele que anda com os sábios será cada vez mais sábio, mas o companheiro dos tolos acabará mal.",Provérbios 13:20
Perfume e incenso trazem alegria ao coração; do conselho sincero do homem nasce uma bela amizade.,Provérbios 27:9
"Não se associe com quem vive de mau humor, nem ande em companhia de quem facilmente se ira; do contrário você acabará imitando essa conduta e cairá em armadilha mortal.",Provérbios 22:24-25
"Não se deixem enganar: ""As más companhias corrompem os bons costumes"".",1 Coríntios 15:33
Dediquem-se uns aos outros com amor fraternal. Prefiram dar honra aos outros mais do que a vocês.,Romanos 12:10
O que é nascido de Deus vence o mundo; e esta é a vitória que vence o mundo: a nossa fé.,1 João 5:4
"Mas em todas estas coisas somos mais que vencedores, por meio daquele que nos amou. Pois estou convencido de que nem morte nem vida, nem anjos nem demônios, nem o presente nem o futuro, nem quaisquer poderes, nem altura nem profundidade, nem qualquer outra coisa na criação será capaz de nos separar do amor de Deus que está em Cristo Jesus, nosso Senhor.",Romanos 8:37-39
"""Onde está, ó morte, a sua vitória? Onde está, ó morte, o seu aguilhão?"" O aguilhão da morte é o pecado, e a força do pecado é a Lei. Mas graças a Deus, que nos dá a vitória por meio de nosso Senhor Jesus Cristo.",1 Coríntios 15:55-57
"pois o Senhor, o seu Deus, os acompanhará e lutará por vocês contra os seus inimigos, para dar a vitória a vocês'.",Deuteronômio 20:4
"Não foi pela espada que conquistaram a terra nem pela força do seu braço que alcançaram a vitória; foi pela tua mão direita, pelo teu braço e pela luz do teu rosto, por causa do teu amor para com eles. És tu, meu Rei e meu Deus! És tu que decretas vitórias para Jacó!",Salmos 44:3-4
"Por isso, vistam toda a armadura de Deus, para que possam resistir no dia mau e permanecer inabaláveis, depois de terem feito tudo.",Efésios 6:13
"Que diremos, pois, diante dessas coisas? Se Deus é por nós, quem será contra nós?",Romanos 8:31
"E disse o Senhor a Josué: ""Não tenha medo desses reis; eu os entreguei nas suas mãos. Nenhum deles conseguirá resistir a você"".",Josué 10:8
"Prepara-se o cavalo para o dia da batalha, mas o Senhor é que dá a vitória.",Provérbios 21:31
Tudo posso naquele que me fortalece.,Filipenses 4:13
"Com Deus conquistaremos a vitória, e ele pisará os nossos adversários.",Salmos 108:13
"pois ainda que o justo caia sete vezes, tornará a erguer-se, mas os ímpios são arrastados pela calamidade.",Provérbios 24:16
"Mil poderão cair ao seu lado; dez mil, à sua direita, mas nada o atingirá.",Salmos 91:7
Nossa esperança está no Senhor; ele é o nosso auxílio e a nossa proteção.,Salmos 33:20
"Protege-me, ó Deus, pois em ti me refugio.",Salmos 16:1
"Todos odiarão vocês por causa do meu nome. Contudo, nenhum fio de cabelo da cabeça de vocês se perderá. É perseverando que vocês obterão a vida.",Lucas 21:17-19
"Não se vendem dois pardais por uma moedinha? Contudo, nenhum deles cai no chão sem o consentimento do Pai de vocês. Até os cabelos da cabeça de vocês estão todos contados. Portanto, não tenham medo; vocês valem mais do que muitos pardais!",Mateus 10:29-31
"Enquanto estava com eles, eu os protegi e os guardei no nome que me deste. Nenhum deles se perdeu, a não ser aquele que estava destinado à perdição, para que se cumprisse a Escritura.",João 17:12
"Sabemos que todo aquele que é nascido de Deus não está no pecado; aquele que nasceu de Deus o protege, e o Maligno não o atinge.",1 João 5:18
"Levanto os meus olhos para os montes e pergunto: De onde me vem o socorro? O meu socorro vem do Senhor, que fez os céus e a terra. Ele não permitirá que você tropece; o seu protetor se manterá alerta, sim, o protetor de Israel não dormirá; ele está sempre alerta!",Salmos 121:1-4
"Mil poderão cair ao seu lado; dez mil, à sua direita, mas nada o atingirá.",Salmos 91:7
"Alegrem-se, porém, todos os que se refugiam em ti; cantem sempre de alegria! Estende sobre eles a tua proteção. Em ti exultem os que amam o teu nome. Pois tu, Senhor, abençoas o justo; o teu favor o protege como um escudo.",Salmos 5:11-12
"Eu clamo a ti, ó Deus, pois tu me respondes; inclina para mim os teus ouvidos e ouve a minha oração. Mostra a maravilha do teu amor, tu, que com a tua mão direita salvas os que em ti buscam proteção contra aqueles que os ameaçam.",Salmos 17:6-7
"Protege-me como à menina dos teus olhos; esconde-me à sombra das tuas asas, dos ímpios que me atacam com violência, dos inimigos mortais que me cercam.",Salmos 17:8-9
"O cavalo é vã esperança de vitória; apesar da sua grande força, é incapaz de salvar. Mas o Senhor protege aqueles que o temem, aqueles que firmam a esperança no seu amor, para livrá-los da morte e garantir-lhes vida, mesmo em tempos de fome.",Salmos 33:17-19
"Bendito seja o Senhor, a minha Rocha, que treina as minhas mãos para a guerra e os meus dedos para a batalha. Ele é o meu aliado fiel, a minha fortaleza, a minha torre de proteção e o meu libertador; é o meu escudo, aquele em quem me refugio. Ele subjuga a mim os povos.",Salmos 144:1-2
"Como as aves dão proteção aos filhotes com suas asas, o Senhor dos Exércitos protegerá Jerusalém; ele a protegerá e a livrará; ele a poupará e a salvará"".",Isaías 31:5
"Não me negues a tua misericórdia, Senhor; que o teu amor e a tua verdade sempre me protejam.",Salmos 40:11
"Guarda a minha vida e livra-me! Não me deixes decepcionado, pois eu me refugio em ti. Que a integridade e a retidão me protejam, porque a minha esperança está em ti.",Salmos 25:20-21
Que o Senhor te responda no tempo da angústia; o nome do Deus de Jacó te proteja! Do santuário te envie auxílio e de Sião te dê apoio.,Salmos 20:1-2
"Mas tu, Senhor, és o escudo que me protege; és a minha glória e me fazes andar de cabeça erguida. Ao Senhor clamo em alta voz, e do seu santo monte ele me responde. Eu me deito e durmo, e torno a acordar, porque é o Senhor que me sustém.",Salmos 3:3-5
"Odeiem o mal, vocês que amam o Senhor, pois ele protege a vida dos seus fiéis e os livra das mãos dos ímpios.",Salmos 97:10
"O Senhor protege os simples; quando eu já estava sem forças, ele me salvou. Retorne ao seu descanso, ó minha alma, porque o Senhor tem sido bom para você! Pois tu me livraste da morte, livraste os meus olhos das lágrimas e os meus pés de tropeçar, para que eu pudesse andar diante do Senhor na terra dos viventes.",Salmos 116:6-9
"Ele defende a causa dos oprimidos e dá alimento aos famintos. O Senhor liberta os presos, o Senhor dá vista aos cegos, o Senhor levanta os abatidos, o Senhor ama os justos. O Senhor protege o estrangeiro e sustém o órfão e a viúva, mas frustra o propósito dos ímpios.",Salmos 146:7-9
"Pois o Senhor é quem dá sabedoria; de sua boca procedem o conhecimento e o discernimento. Ele reserva a sensatez para o justo; como um escudo protege quem anda com integridade, pois guarda a vereda do justo e protege o caminho de seus fiéis.",Provérbios 2:6-8
"A sabedoria oferece proteção, como o faz o dinheiro, mas a vantagem do conhecimento é esta: a sabedoria preserva a vida de quem a possui.",Eclesiastes 7:12
"A retidão protege o homem íntegro, mas a impiedade derruba o pecador.",Provérbios 13:6
"Tudo o que fizerem, façam de todo o coração, como para o Senhor, e não para os homens,",Colossenses 3:23
"Sirvam aos seus senhores de boa vontade, como servindo ao Senhor, e não aos homens, porque vocês sabem que o Senhor recompensará cada um pelo bem que praticar, seja escravo, seja livre.",Efésios 6:7-8
"Façam tudo sem queixas nem discussões, para que venham a tornar-se puros e irrepreensíveis, filhos de Deus inculpáveis no meio de uma geração corrompida e depravada, na qual vocês brilham como estrelas no universo,",Filipenses 2:14-15
"O que as suas mãos tiverem que fazer, que o façam com toda a sua força, pois na sepultura, para onde você vai, não há atividade nem planejamento, não há conhecimento nem sabedoria.",Eclesiastes 9:10
"Procure apresentar-se a Deus aprovado, como obreiro que não tem do que se envergonhar e que maneja corretamente a palavra da verdade.",2 Timóteo 2:15
"Consagre ao Senhor tudo o que você faz, e os seus planos serão bem-sucedidos.",Provérbios 16:3
"Quando ainda estávamos com vocês, nós ordenamos isto: Se alguém não quiser trabalhar, também não coma. Pois ouvimos que alguns de vocês estão ociosos; não trabalham, mas andam se intrometendo na vida alheia. A tais pessoas ordenamos e exortamos no Senhor Jesus Cristo que trabalhem tranquilamente e comam o seu próprio pão.",2 Tessalonicenses 3:10-12
"Esforcem-se para ter uma vida tranquila, cuidar dos seus próprios negócios e trabalhar com as próprias mãos, como nós os instruímos; a fim de que andem decentemente aos olhos dos que são de fora e não dependam de ninguém.",1 Tessalonicenses 4:11-12
"Observe a formiga, preguiçoso, reflita nos caminhos dela e seja sábio! Até quando você vai ficar deitado, preguiçoso? Quando se levantará de seu sono? a sua pobreza o surpreenderá como um assaltante, e a sua necessidade sobrevirá como um homem armado sobre você.","Provérbios 6:6,9,11"
"Todo trabalho árduo traz proveito, mas o só falar leva à pobreza.",Provérbios 14:23
"As mãos diligentes governarão, mas os preguiçosos acabarão escravos.",Provérbios 12:24
Quem relaxa em seu trabalho é irmão do que o destrói.,Provérbios 18:9
"O que furtava não furte mais; antes trabalhe, fazendo algo de útil com as mãos, para que tenha o que repartir com quem estiver em necessidade.",Efésios 4:28
"Assim, quer vocês comam, quer bebam, quer façam qualquer outra coisa, façam tudo para a glória de Deus.",1 Coríntios 10:31
"Havia um homem totalmente solitário; não tinha filho nem irmão. Trabalhava sem parar! Contudo, os seus olhos não se satisfaziam com a sua riqueza. Ele sequer perguntava: ""Para quem estou trabalhando tanto, e por que razão deixo de me divertir?"" Isso também é absurdo; é um trabalho por demais ingrato!",Eclesiastes 4:8
"As mãos preguiçosas empobrecem o homem, porém as mãos diligentes lhe trazem riqueza.",Provérbios 10:4
"Não ame o sono, senão você acabará ficando pobre; fique desperto, e terá alimento de sobra.",Provérbios 20:13
"Os filhos são herança do Senhor, uma recompensa que ele dá. Como flechas nas mãos do guerreiro são os filhos nascidos na juventude. Como é feliz o homem que tem a sua aljava cheia deles! Não será humilhado quando enfrentar seus inimigos no tribunal.",Salmos 127:3-5
"Os filhos dos filhos são uma coroa para os idosos, e os pais são o orgulho dos seus filhos.",Provérbios 17:6
"Já fui jovem e agora sou velho, mas nunca vi o justo desamparado nem seus filhos mendigando o pão. Ele é sempre generoso e empresta com boa vontade; seus filhos serão abençoados.",Salmos 37:25-26
"Os filhos do seu ventre serão abençoados, como também as colheitas da sua terra e os bezerros e os cordeiros dos seus rebanhos.",Deuteronômio 28:4
"Como é feliz quem teme o Senhor, quem anda em seus caminhos! Você comerá do fruto do seu trabalho e será feliz e próspero. Sua mulher será como videira frutífera em sua casa; seus filhos serão como brotos de oliveira ao redor da sua mesa.",Salmos 128:1-3
"Que todas estas palavras que hoje lhe ordeno estejam em seu coração. Ensine-as com persistência a seus filhos. Converse sobre elas quando estiver sentado em casa, quando estiver andando pelo caminho, quando se deitar e quando se levantar.",Deuteronômio 6:6-7
"Todos os seus filhos serão ensinados pelo Senhor, e grande será a paz de suas crianças.",Isaías 54:13
"""Honra teu pai e tua mãe, a fim de que tenhas vida longa na terra que o Senhor,o teu Deus, te dá.",Êxodo 20:12
"Filhos, obedeçam a seus pais no Senhor, pois isso é justo. ""Honra teu pai e tua mãe"" - este é o primeiro mandamento com promessa - ""para que tudo te corra bem e tenhas longa vida sobre a terra"".",Efésios 6:1-3
"Pais, não irritem seus filhos; antes criem-nos segundo a instrução e o conselho do Senhor.",Efésios 6:4
"Filhos, obedeçam a seus pais em tudo, pois isso agrada ao Senhor.",Colossenses 3:20
"Pais, não irritem seus filhos, para que eles não desanimem.",Colossenses 3:21
"Ouçam, meus filhos, a instrução de um pai; estejam atentos e obterão discernimento.",Provérbios 4:1
"Instrua a criança segundo os objetivos que você tem para ela, e mesmo com o passar dos anos não se desviará deles.",Provérbios 22:6
"A insensatez está ligada ao coração da criança, mas a vara da disciplina a livrará dela.",Provérbios 22:15
"Não evite disciplinar a criança; se você a castigar com a vara, ela não morrerá.",Provérbios 23:13
"A vara da correção dá sabedoria, mas a criança entregue a si mesma envergonha a sua mãe.",Provérbios 29:15
Quem se nega a castigar seu filho não o ama; quem o ama não hesita em discipliná-lo.,Provérbios 13:24
"Não os esconderemos dos nossos filhos; contaremos à próxima geração os louváveis feitos do Senhor, o seu poder e as maravilhas que fez.",Salmos 78:4
"Mas, se uma viúva tem filhos ou netos, que estes aprendam primeiramente a pôr a sua religião em prática, cuidando de sua própria família e retribuindo o bem recebido de seus pais e avós, pois isso agrada a Deus.",1 Timóteo 5:4
"Como um pai tem compaixão de seus filhos, assim o Senhor tem compaixão dos que o temem;",Salmos 103:13
"Se vocês, apesar de serem maus, sabem dar boas coisas aos seus filhos, quanto mais o Pai de vocês, que está nos céus, dará coisas boas aos que lhe pedirem!",Mateus 7:11
"Vejam como é grande o amor que o Pai nos concedeu: sermos chamados filhos de Deus, o que de fato somos! Por isso o mundo não nos conhece, porque não o conheceu.",1 João 3:1
"Suportem as dificuldades, recebendo-as como disciplina; Deus os trata como filhos. Ora, qual o filho que não é disciplinado por seu pai? Se vocês não são disciplinados, e a disciplina é para todos os filhos, então vocês não são filhos legítimos, mas sim ilegítimos.",Hebreus 12:7-8
Isso aconteceu quando vocês foram sepultados com ele no batismo e com ele foram ressuscitados mediante a fé no poder de Deus que o ressuscitou dentre os mortos.,Colossenses 2:12
"Naquela ocasião, Jesus veio de Nazaré da Galileia e foi batizado por João no Jordão. Assim que saiu da água, Jesus viu o céu se abrindo e o Espírito descendo como pomba sobre ele.",Marcos 1:9-10
"Pedro respondeu: ""Arrependam-se, e cada um de vocês seja batizado em nome de Jesus Cristo para perdão dos seus pecados, e receberão o dom do Espírito Santo.",Atos dos Apóstolos 2:38
"Prosseguindo pela estrada, chegaram a um lugar onde havia água. O eunuco disse: ""Olhe, aqui há água. Que me impede de ser batizado?"" Disse Filipe: ""Você pode, se crê de todo o coração"". O eunuco respondeu: ""Creio que Jesus Cristo é o Filho de Deus"".",Atos dos Apóstolos 8:36-37
"Então, Jesus aproximou-se deles e disse: ""Foi-me dada toda a autoridade nos céus e na terra. Portanto, vão e façam discípulos de todas as nações, batizando-os em nome do Pai e do Filho e do Espírito Santo, ensinando-os a obedecer a tudo o que eu ordenei a vocês. E eu estarei sempre com vocês, até o fim dos tempos"".",Mateus 28:18-20
"Ou vocês não sabem que todos nós, que fomos batizados em Cristo Jesus, fomos batizados em sua morte? Portanto, fomos sepultados com ele na morte por meio do batismo, a fim de que, assim como Cristo foi ressuscitado dos mortos mediante a glória do Pai, também nós vivamos uma vida nova.",Romanos 6:3-4
"Pois em um só corpo todos nós fomos batizados em um único Espírito: quer judeus, quer gregos, quer escravos, quer livres. E a todos nós foi dado beber de um único Espírito.",1 Coríntios 12:13
"Tendo dito isso, foi elevado às alturas enquanto eles olhavam, e uma nuvem o encobriu da vista deles. E eles ficaram com os olhos fixos no céu enquanto ele subia. De repente surgiram diante deles dois homens vestidos de branco, que lhes disseram: ""Galileus, por que vocês estão olhando para o céu? Este mesmo Jesus, que dentre vocês foi elevado aos céus, voltará da mesma forma como o viram subir"".",Atos dos Apóstolos 1:9-11
"Pois, dada a ordem, com a voz do arcanjo e o ressoar da trombeta de Deus, o próprio Senhor descerá dos céus, e os mortos em Cristo ressuscitarão primeiro. Depois nós, os que estivermos vivos, seremos arrebatados com eles nas nuvens, para o encontro com o Senhor nos ares. E assim estaremos com o Senhor para sempre.",1 Tessalonicenses 4:16-17
"Da mesma forma, como o homem está destinado a morrer uma só vez e depois disso enfrentar o juízo, assim também Cristo foi oferecido em sacrifício uma única vez, para tirar os pecados de muitos; e aparecerá segunda vez, não para tirar o pecado, mas para trazer salvação aos que o aguardam.",Hebreus 9:27-28
"""Quanto ao dia e à hora ninguém sabe, nem os anjos dos céus, nem o Filho, senão somente o Pai. Como foi nos dias de Noé, assim também será na vinda do Filho do homem. Pois nos dias anteriores ao Dilúvio, o povo vivia comendo e bebendo, casando-se e dando-se em casamento, até o dia em que Noé entrou na arca; e eles nada perceberam, até que veio o Dilúvio e os levou a todos. Assim acontecerá na vinda do Filho do homem.",Mateus 24:36-39
"""Quanto ao dia e à hora ninguém sabe, nem os anjos no céu, nem o Filho, senão somente o Pai.",Marcos 13:32
"""Portanto, vigiem, porque vocês não sabem em que dia virá o seu Senhor. Mas entendam isto: se o dono da casa soubesse a que hora da noite o ladrão viria, ele ficaria de guarda e não deixaria que a sua casa fosse arrombada. Assim, vocês também precisam estar preparados, porque o Filho do homem virá numa hora em que vocês menos esperam.",Mateus 24:42-44
"Não deixem que ninguém os engane de modo algum. Antes daquele dia virá a apostasia e, então, será revelado o homem do pecado, o filho da perdição. Este se opõe e se exalta acima de tudo o que se chama Deus ou é objeto de adoração, chegando até a assentar-se no santuário de Deus, proclamando que ele mesmo é Deus.",2 Tessalonicenses 2:3-4
"Irmãos, quanto aos tempos e épocas, não precisamos escrever pois vocês mesmos sabem perfeitamente que o dia do Senhor virá como ladrão à noite. Quando disserem: ""Paz e segurança"", a destruição virá sobre eles de repente, como as dores de parto à mulher grávida; e de modo nenhum escaparão.",1 Tessalonicenses 5:1-3
"""Mas, naqueles dias, após aquela tribulação, 'o sol escurecerá e a lua não dará a sua luz; as estrelas cairão do céu e os poderes celestes serão abalados'. ""Então verão o Filho do homem vindo nas nuvens com grande poder e glória. E ele enviará os seus anjos e reunirá os seus eleitos dos quatro ventos, dos confins da terra até os confins do céu.",Marcos 13:24-27
"Vi os céus abertos e diante de mim um cavalo branco, cujo cavaleiro se chama Fiel e Verdadeiro. Ele julga e guerreia com justiça. Seus olhos são como chamas de fogo, e em sua cabeça há muitas coroas e um nome que só ele conhece, e ninguém mais.",Apocalipse 19:11-12
"""Quando o Filho do homem vier em sua glória, com todos os anjos, ele se assentará em seu trono na glória celestial. Todas as nações serão reunidas diante dele, e ele separará umas das outras como o pastor separa as ovelhas dos bodes. E colocará as ovelhas à sua direita e os bodes à sua esquerda.",Mateus 25:31-33
"Se alguém se envergonhar de mim e das minhas palavras, o Filho do homem se envergonhará dele quando vier em sua glória e na glória do Pai e dos santos anjos.",Lucas 9:26
"O Senhor não demora em cumprir a sua promessa, como julgam alguns. Ao contrário, ele é paciente com vocês, não querendo que ninguém pereça, mas que todos cheguem ao arrependimento. O dia do Senhor, porém, virá como ladrão. Os céus desaparecerão com um grande estrondo, os elementos serão desfeitos pelo calor, e a terra, e tudo o que nela há, será desnudada.",2 Pedro 3:9-10
"Visto que tudo será assim desfeito, que tipo de pessoas é necessário que vocês sejam? Vivam de maneira santa e piedosa, esperando o dia de Deus e apressando a sua vinda. Naquele dia os céus serão desfeitos pelo fogo, e os elementos se derreterão pelo calor. Todavia, de acordo com a sua promessa, esperamos novos céus e nova terra, onde habita a justiça.",2 Pedro 3:11-13
"""Eis que venho em breve! A minha recompensa está comigo, e eu retribuirei a cada um de acordo com o que fez.",Apocalipse 22:12
"Na casa de meu Pai há muitos aposentos; se não fosse assim, eu teria dito a vocês. Vou preparar lugar para vocês. E, quando eu for e preparar lugar, voltarei e os levarei para mim, para que vocês estejam onde eu estiver.",João 14:2-3
"Aquele que dá testemunho destas coisas diz: ""Sim, venho em breve!"" Amém. Vem, Senhor Jesus!",Apocalipse 22:20
"Pois a palavra de Deus é viva e eficaz, e mais afiada que qualquer espada de dois gumes; ela penetra até o ponto de dividir alma e espírito, juntas e medulas, e julga os pensamentos e as intenções do coração.",Hebreus 4:12
A tua palavra é lâmpada que ilumina os meus passos e luz que clareia o meu caminho.,Salmos 119:105
"O Senhor está perto de todos os que o invocam, de todos os que o invocam com sinceridade. Ele realiza os desejos daqueles que o temem; ouve-os gritar por socorro e os salva.",Salmos 145:18-19
"Toda a Escritura é inspirada por Deus e útil para o ensino, para a repreensão, para a correção e para a instrução na justiça, para que o homem de Deus seja apto e plenamente preparado para toda boa obra.",2 Timóteo 3:16-17
"""Peçam, e será dado; busquem, e encontrarão; batam, e a porta será aberta. Pois todo o que pede recebe; o que busca encontra; e àquele que bate, a porta será aberta.",Mateus 7:7-8
"Ó povo de Sião, que mora em Jerusalém, você não vai chorar mais. Como ele será bondoso quando você clamar por socorro! Assim que ele ouvir, responderá a você.",Isaías 30:19
"Esta é a confiança que temos ao nos aproximarmos de Deus: se pedirmos alguma coisa de acordo com a vontade de Deus, ele nos ouvirá. E, se sabemos que ele nos ouve em tudo o que pedimos, sabemos que temos o que dele pedimos.",1 João 5:14-15
"Deus é o nosso refúgio e a nossa fortaleza, auxílio sempre presente na adversidade.",Salmos 46:1
"O Senhor é bom, um refúgio em tempos de angústia. Ele protege os que nele confiam,",Naum 1:7
"Sem fé é impossível agradar a Deus, pois quem dele se aproxima precisa crer que ele existe e que recompensa aqueles que o buscam.",Hebreus 11:6
